name,affiliate,place,totalPoints,Hoppin and Poppin,3-1-2 Its So Complex,Toss it Im Over It Row,Toss it Im Over It Metcon,Get on Up n Git Down,WOD1,WOD2,WOD3,WOD4,WOD5
Diamond Start,1214 CROSSFIT,89,420,04:59,255,164,240,06:15,67,111,68,109,65
We do crossfit…..JK,CROSSFIT MESHUGGE,90,424,04:42,305,119,265,07:43,36,47,142,79,120
Timeless Titans ,TRAINING ZONE,91,426,04:46,240,144,283,06:40,42,123,120,56,85
Hands On Strength,HANDS ON STRENGTH,92,428,05:13,260,173,236,06:33,91,101,45,113,78
Fit Fossils,CROSSFIT PICKERING,93,429,05:48,290,160,250,06:26,119,63,77,96,74
Here for a good time (but not past 10pm),BIG MOUNTAIN CROSSFIT,94,432,05:01,285,155,255,07:31,71,69,90,88,114
Fit 4 Fifty,NATURAL SELECTION CROSSFIT,94,432,05:01,270,151,267,06:56,71,89,104,73,95
Swole Mates,CROSSFIT 15:10,96,438,04:56,280,118,279,07:03,61,72,143,61,101
Of the Abyss,RATH FITNESS,97,447,05:05,255,148,250,06:00,78,111,110,96,52
Mid Life Masters,CROSSFIT BASS RIVER,98,449,04:53,275,146,290,-,52,81,116,50,149
She's Kickin' My Chicken,INDEPENDENT,99,452,06:43,275,155,291,06:58,137,81,90,47,97
Oldies But Goodies,SUBMIT2FITNESS,100,453,05:55,240,155,265,05:39,122,123,90,79,39
Cookie Masters,WEST END CROSSFIT,101,455,05:25,300,166,239,08:13,107,49,63,111,125
Olderachievers,CROSSFIT CALGARY,102,457,06:15,270,175,250,07:01,134,89,39,96,99
In WOD We Thrust,CROSSFIT REDEMPTION,103,459,05:29,280,152,278,07:18,113,72,102,63,109
Canadian Okies,AB SPORTS PERFORMANCE,104,464,05:10,295,124,278,07:32,85,62,138,63,116
Snatch Us If You Can,CROSSFIT INDUSTRIOUS,105,465,06:04,290,175,219,07:16,130,63,39,126,107
Old School Cool,CROSSFIT CONDOR,105,465,04:58,240,146,255,06:26,64,123,116,88,74
Bringing sexy back,ROADSIDE CROSSFIT,107,467,04:59,275,135,250,06:48,67,81,133,96,90
RamBo 2.0,SWEAT FACTORY CROSSFIT GROVELAND,108,469,05:24,280,162,215,06:57,102,72,72,127,96
Good Genes,CROSSFIT LKW,109,473,05:26,230,218,239,07:44,109,131,1,111,121
The WOD Couple,URU STRENGTH & CONDITIONING,110,477,04:54,270,143,235,06:49,57,89,123,116,92
Fit-Grandies,SWEAT CULTURE CROSSFIT,111,481,06:10,250,144,344,07:28,132,115,120,1,113
Call My Emergency Contact,CMB FITNESS,112,495,05:24,290,149,250,08:16,102,63,108,96,126
