"name","affiliate","Hoppin' and Poppin'!","3-1-2? It's So Complex!","Toss it, I'm Over It! (Row)","Toss it, I'm Over It! (Metcon)","Get on Up 'n Git Down"
Bushel & PecK,INDEPENDENT,05:18,315,164,284,06:25
Fit-Grandies,SWEAT CULTURE CROSSFIT,06:10,250,144,344,07:28
Tat or not to Tat,INDEPENDENT,WD,WD,WD,WD,WD
"WOD now, ADVIL later",CROSSFIT RENAISSANCE,04:37,330,188,312,04:51
Underlying strength ,INDEPENDENT,05:13,300,151,317,05:24
TBD,CROSSFIT RISE ABOVE,05:28,310,155,266,06:43
CreaTINA and WheyD,FCCF,04:53,280,184,299,05:26
Masters Of Our Domain,HELLROARING CROSSFIT,05:08,300,161,278,05:48
Here for a good time (but not past 10pm),BIG MOUNTAIN CROSSFIT,05:01,285,155,255,07:31
ABL,CROSSFIT RAILS,04:27,320,184,305,05:27
2 FIT 2 QUIT,PRESCRIBED FITNESS,04:58,310,180,321,05:44
Daggum Parakeets,THE BOX RS,04:19,275,163,300,05:21
You Go I Go,CROSSFIT VINITA,05:48,340,-,-,-
Swole Mates,CRUNCH FITNESS OF ROANOKE,05:57,265,129,215,08:52
Unbreakables,SOLUTION 1 CROSSFIT,04:06,310,171,324,04:59
Snatch Assassins ,CROSSFIT SEDALIA,05:07,340,147,282,06:36
We do crossfit…..JK,CROSSFIT MESHUGGE,04:42,305,119,265,07:43
The Whole Person - IV,INDEPENDENT,WD,-,-,-,-
Hustle & Grit,INDEPENDENT,04:58,300,187,300,06:19
Holy Hopkins Batman,CROSSFIT SKYFALL,07:47,215,131,149,09:25
Top Guns,GRIND SHOP,CAP +160,160,122,15,10:41
White Rice,CROSSFIT UXO,05:05,280,159,282,05:37
Old and Slow,CROSSFIT FREEDOM,04:36,255,139,300,06:12
Beauty and the Beast,	233 CROSSFIT,06:17,225,152,262,07:20
Killer B's,CROSSFIT AMRAP,WD,WD,WD,WD,WD
Richmond Greyhounds,"WEST END CROSSFIT, RICHMOND, VA",06:14,240,169,250,07:05
Cookie Masters,WEST END CROSSFIT,05:25,300,166,239,08:13
"Mercules, mercules, mercules (hands clapping) ",PLUS ULTRA FITNESS,05:14,310,184,284,05:47
Misery Loves Company,CROSSFIT CONVERGENCE,05:51,260,154,206,08:43
TEAM Cafe Con Leche,CROSSFIT TOWNIE,05:24,220,121,190,10:25
Guns N' Poses,CROSSFIT UNRESTRAINED,04:53,290,175,236,05:42
Slow-n-steady,NATURAL SELECTION CROSSFIT,05:04,345,159,255,06:03
Fit 4 Fifty,NATURAL SELECTION CROSSFIT,05:01,270,151,267,06:56
Checkmate Bish,NATURAL SELECTION CROSSFIT,05:12,260,187,250,06:52
Sippin' on Gym & Juice,RURAL STRENGTH AND CONDITIONING,04:40,380,189,296,06:19
DFWV,ADAMANTIUM WEIGHTLIFTING,04:54,265,175,310,05:57
Dynamic Duo,MORTAR CROSSFIT,04:28,345,200,299,04:43
She's Carrying Me ,TRVFIT HARTLAND,04:02,300,173,274,04:51
Snatch and Balls,RIVERCITIES YMCA CROSSFIT,04:49,260,159,297,05:35
Rackz- N -Sackz,INDEPENDENT,04:40,265,167,227,07:14
CB Radio: Coming In Hot!,CROSSFIT TRIED AND TRUE,11:10,165,141,50,10:28
Impact Velocity,CROSSFIT SONORA,04:24,325,197,305,04:45
Mid Life Masters,CROSSFIT BASS RIVER,04:53,275,146,290,05:29
Heart Attack ,TABLE ROCK CROSSFIT,04:48,320,188,293,05:59
RACKnSACK,CROSSFIT SAND SPRINGS,04:55,320,183,207,07:16
